time,meeting,origin,dest,count
2022-01-01,cvpr,4,4,6
2022-01-01,acl,13,13,6
2024-01-01,icml,6,6,6
2022-01-01,corl,0,0,6
2023-01-01,emnlp,357,37,6
2024-01-01,acmmm,140,140,6
2025-01-01,aistats,0,0,6
2025-01-01,aaai,360,360,6
2025-01-01,iclr,12,36,6
2024-01-01,colm,44,30,6
2021-01-01,emnlp,60,60,6
2024-01-01,icml,9,16,6
2024-01-01,emnlp,10,10,6
2022-01-01,eccv,37,37,6
2023-01-01,cvpr,149,149,6
2023-01-01,iccv,4,4,6
2023-01-01,aaai,6,6,6
2025-01-01,aaai,154,154,6
2022-01-01,nips,229,229,6
2024-01-01,cvpr,3,3,6
